feature,clf_importance,reg_importance
"cat__airport_name_Chico, CA: Chico Municipal",0.0,0.0
"cat__airport_name_Christiansted, VI: Henry E. Rohlsen",0.0,0.0
"cat__airport_name_Cincinnati, OH: Cincinnati/Northern Kentucky International",0.0,0.0
"cat__airport_name_Clarksburg/Fairmont, WV: North Central West Virginia",0.0,0.0
"cat__airport_name_Cleveland, OH: Cleveland-Hopkins International",0.0,0.0
"cat__airport_name_Cody, WY: Yellowstone Regional",0.0,0.0
"cat__airport_name_Cold Bay, AK: Cold Bay Airport",0.0,0.0
"cat__airport_name_College Station/Bryan, TX: Easterwood Field",0.0,0.0
"cat__airport_name_Colorado Springs, CO: City of Colorado Springs Municipal",0.0,0.0
"cat__airport_name_Columbia, MO: Columbia Regional",0.0,0.0
"cat__airport_name_Columbia, SC: Columbia Metropolitan",0.0,0.0
"cat__airport_name_Columbus, GA: Columbus Airport",0.0,0.0
"cat__airport_name_Columbus, MS: Golden Triangle Regional",0.0,0.0
"cat__airport_name_Columbus, OH: John Glenn Columbus International",0.0,0.0
"cat__airport_name_Columbus, OH: Rickenbacker International",0.0,0.0
"cat__airport_name_Concord, NC: Concord Padgett Regional",0.0,0.0
"cat__airport_name_Cordova, AK: Merle K Mudhole Smith",0.0,0.0
"cat__airport_name_Corpus Christi, TX: Corpus Christi International",0.0,0.0
"cat__airport_name_Crescent City, CA: Jack McNamara Field",0.0,0.0
"cat__airport_name_Dallas, TX: Dallas Love Field",0.0,0.0
"cat__airport_name_Dallas/Fort Worth, TX: Dallas/Fort Worth International",0.0,0.0
"cat__airport_name_Dayton, OH: James M Cox/Dayton International",0.0,0.0
"cat__airport_name_Daytona Beach, FL: Daytona Beach International",0.0,0.0
"cat__airport_name_Deadhorse, AK: Deadhorse Airport",0.0,0.0
"cat__airport_name_Decatur, IL: Decatur Airport",0.0,0.0
"cat__airport_name_Del Rio, TX: Del Rio International",0.0,0.0
"cat__airport_name_Denver, CO: Denver International",0.0,0.0
"cat__airport_name_Des Moines, IA: Des Moines International",0.0,0.0
"cat__airport_name_Detroit, MI: Detroit Metro Wayne County",0.0,0.0
"cat__airport_name_Devils Lake, ND: Devils Lake Regional",0.0,0.0
"cat__airport_name_Dickinson, ND: Dickinson - Theodore Roosevelt Regional",0.0,0.0
"cat__airport_name_Dillingham, AK: Dillingham Airport",0.0,0.0
"cat__airport_name_Dodge City, KS: Dodge City Regional",0.0,0.0
"cat__airport_name_Dothan, AL: Dothan Regional",0.0,0.0
"cat__airport_name_Dubuque, IA: Dubuque Regional",0.0,0.0
"cat__airport_name_Duluth, MN: Duluth International",0.0,0.0
"cat__airport_name_Durango, CO: Durango La Plata County",0.0,0.0
"cat__airport_name_Eagle, CO: Eagle County Regional",0.0,0.0
"cat__airport_name_Eau Claire, WI: Chippewa Valley Regional",0.0,0.0
"cat__airport_name_El Paso, TX: El Paso International",0.0,0.0
"cat__airport_name_Elko, NV: Elko Regional",0.0,0.0
"cat__airport_name_Elmira/Corning, NY: Elmira/Corning Regional",0.0,0.0
"cat__airport_name_Erie, PA: Erie International/Tom Ridge Field",0.0,0.0
"cat__airport_name_Escanaba, MI: Delta County",0.0,0.0
"cat__airport_name_Eugene, OR: Mahlon Sweet Field",0.0,0.0
"cat__airport_name_Evansville, IN: Evansville Regional",0.0,0.0
"cat__airport_name_Everett, WA: Snohomish County",0.0,0.0
"cat__airport_name_Fairbanks, AK: Fairbanks International",0.0,0.0
"cat__airport_name_Fargo, ND: Hector International",0.0,0.0
"cat__airport_name_Fayetteville, AR: Northwest Arkansas National",0.0,0.0
"cat__airport_name_Fayetteville, AR: Northwest Arkansas Regional",0.0,0.0
"cat__airport_name_Fayetteville, NC: Fayetteville Regional/Grannis Field",0.0,0.0
"cat__airport_name_Flagstaff, AZ: Flagstaff Pulliam",0.0,0.0
"cat__airport_name_Flint, MI: Bishop International",0.0,0.0
"cat__airport_name_Florence, SC: Florence Regional",0.0,0.0
"cat__airport_name_Fort Collins/Loveland, CO: Northern Colorado Regional",0.0,0.0
"cat__airport_name_Fort Dodge, IA: Fort Dodge Regional",0.0,0.0
"cat__airport_name_Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",0.0,0.0
"cat__airport_name_Fort Leonard Wood, MO: Waynesville-St. Robert Regional Forney Field",0.0,0.0
"cat__airport_name_Fort Myers, FL: Southwest Florida International",0.0,0.0
"cat__airport_name_Fort Smith, AR: Fort Smith Regional",0.0,0.0
"cat__airport_name_Fort Wayne, IN: Fort Wayne International",0.0,0.0
"cat__airport_name_Fresno, CA: Fresno Yosemite International",0.0,0.0
"cat__airport_name_Gainesville, FL: Gainesville Regional",0.0,0.0
"cat__airport_name_Garden City, KS: Garden City Regional",0.0,0.0
"cat__airport_name_Gillette, WY: Gillette Campbell County",0.0,0.0
"cat__airport_name_Gillette, WY: Northeast Wyoming Regional",0.0,0.0
"cat__airport_name_Grand Forks, ND: Grand Forks International",0.0,0.0
"cat__airport_name_Grand Island, NE: Central Nebraska Regional",0.0,0.0
