ident,name,municipality,iso_region,iata_code,local_code,latitude_deg,longitude_deg,faa_code
2OK2,Twin Lakes Airport,Midwest City,US-OK,,2OK2,35.329200744628906,-97.2697982788086,2OK2
2OK4,Ragwing Acres Airport,Mounds,US-OK,,2OK4,35.81679916381836,-96.05860137939452,2OK4
2OK5,Ferrell Ranch Airport,Mountain View,US-OK,,2OK5,34.92900085449219,-98.73979949951172,2OK5
2OK7,Cole Landing Area Airport,Newcastle,US-OK,,2OK7,35.258399963378906,-97.66280364990234,2OK7
2OL2,Myers Field Ultralight Flightpark,Bixby,US-OK,,2OL2,35.887833,-95.919639,2OL2
2OR0,Nielsen Airport,Oregon City,US-OR,,2OR0,45.34687,-122.52244,2OR0
2OR1,Big Muddy Ranch Airport,Fossil,US-OR,,2OR1,44.828668,-120.495311,2OR1
2OR2,Pioneer Memorial Hospital Heliport,Prineville,US-OR,,2OR2,44.31230163574219,-120.83799743652344,2OR2
2OR3,Davidson Field,Jefferson,US-OR,,2OR3,44.79460144042969,-123.0979995727539,2OR3
2OR4,Heavens Gate Ranch Airport,Oakland,US-OR,,2OR4,43.47480010986328,-123.34600067138672,2OR4
2OR5,Woodland Park Hospital Heliport,Portland,US-OR,,2OR5,45.533199,-122.551003,2OR5
2OR6,Lockhart Airport,Ironside,US-OR,,2OR6,44.181255,-118.216166,2OR6
2OR9,World Trade Center Heliport,Portland,US-OR,,2OR9,45.516277,-122.674849,2OR9
2P2,Washington Island Airport,Washington,US-WI,,2P2,45.387917,-86.92327,2P2
2P4,Baraga Airport,Baraga,US-MI,,2P4,46.784901,-88.577797,2P4
2P5,Holly City Heliport,Millville,US-NJ,,2P5,39.36899948120117,-75.07350158691406,2P5
2P7,Alderman Airport,St Clairsville,US-OH,,2P7,40.05690002441406,-80.96320343017578,2P7
2PA1,Boehm's Field,Greeley,US-PA,,2PA1,41.4431,-75.007896,2PA1
2PA3,Reed Airport,Lake Ariel,US-PA,,2PA3,41.497394,-75.40947,2PA3
2PA4,Boden Airport,Lakewood,US-PA,,2PA4,41.84669876098633,-75.44629669189453,2PA4
2PA5,Johnson Airport,Port Allegany,US-PA,,2PA5,41.78060150146485,-78.26920318603516,2PA5
2PA6,The Old Commonwealth Aerodrome,Shartlesville,US-PA,,2PA6,40.4911994934082,-76.09770202636719,2PA6
2PA7,Egolf Airport,Landisburg,US-PA,,2PA7,40.33340072631836,-77.29969787597656,2PA7
2PA8,Shulls Airport,Landisburg,US-PA,,2PA8,40.30009841918945,-77.29969787597656,2PA8
2PA9,Wilson Heliport,Lansdale,US-PA,,2PA9,40.20009994506836,-75.29959869384766,2PA9
2PN1,Malco Airport,Westfield,US-PA,,2PN1,41.9833984375,-77.52469635009766,2PN1
2PN2,Fortman Heliport,Shrewsbury,US-PA,,2PN2,39.78749847412109,-76.64720153808594,2PN2
2PN4,Quemahening Flightpark Ultralightport,Stoystown,US-PA,,2PN4,40.0817985534668,-78.94550323486328,2PN4
2PN5,Baker-Sell Airport,Woodbury,US-PA,,2PN5,40.2484016418457,-78.36080169677734,2PN5
2PN7,Brennan Personal Use Airport,Zelienople,US-PA,,2PN7,40.855848,-80.068772,2PN7
2PN8,Federal Reserve Bank Heliport,Philadelphia,US-PA,,2PN8,39.936798095703125,-75.15049743652344,2PN8
2PN9,Sun Company-Radnor Heliport,Radnor,US-PA,,2PN9,40.04710006713867,-75.35769653320312,2PN9
2PS0,Rotelle Heliport,West Point,US-PA,,2PS0,40.197898864746094,-75.29910278320312,2PS0
2PS2,UPMC Memorial Hospital Heliport,York,US-PA,,2PS2,39.966744,-76.692317,2PS2
2PS3,Mathna Airport,Dillsburg,US-PA,,2PS3,40.015751,-77.042398,2PS3
2PS4,Wgal-Tv Heliport,Lancaster,US-PA,,2PS4,40.0369987487793,-76.33769989013672,2PS4
2PS5,Rosini Residence Heliport,Shamokin,US-PA,,2PS5,40.78680038452149,-76.58499908447266,2PS5
2PS7,Merck Sharp & Dohme Heliport,Lansdale,US-PA,,2PS7,40.21680068969727,-75.16629791259766,2PS7
2PS9,Albert Einstein Medical Center Heliport,Philadelphia,US-PA,,2PS9,40.03680038452149,-75.14350128173828,2PS9
2Q5,Parker Carson Airport,Carson City,US-NV,,25NV,39.201583,-119.683444,25NV
2Q9,Dyer Airport,Dyer,US-NV,,2Q9,37.60969924926758,-118.00599670410156,2Q9
2R3,Island Lake Seaplane Base,Kenai,US-AK,,2R3,60.70439910888672,-151.31100463867188,2R3
2RI7,Malbone Estate Heliport,Newport,US-RI,,2RI7,41.504909,-71.310511,2RI7
2S0,Twisp Municipal Airport,Twisp,US-WA,,2S0,48.350601,-120.094002,2S0
2S1,Vashon Municipal Airport,Vashon,US-WA,,2S1,47.458599,-122.473999,2S1
2S2,Beaver Marsh State Airport,Beaver Marsh,US-OR,,2S2,43.12900161743164,-121.81800079345705,2S2
2S3,Archer Memorial Field,St Johns,US-MI,,2S3,42.90700149536133,-84.47219848632812,2S3
2S5,Waterville Airport,Waterville,US-WA,,2S5,47.655998,-120.056,2S5
